TLE Line 1,TLE Line 2,JD,Fractional
1 25544U 98067A   08264.51782528 -.00002182  00000-0 -11606-4 0 2927  ',2 25544  51.6416 247.4627 0006703 130.5360 325.0288 15.72125391563537',2459580,0.5423726854
1 25544U 98067A   08264.51782528 -.00002182  00000-0 -11606-4 0 2927  ',2 25544  51.6416 247.4627 0006703 130.5360 325.0288 15.72125391563537',2459781,0.06666666688
1 25544U 98067A   08264.51782528 -.00002182  00000-0 -11606-4 0 2927  ',2 25544  51.6416 247.4627 0006703 130.5360 325.0288 15.72125391563537',2459945,0.5423726854
1 25544U 98067A   08264.51782528 -.00002182  00000-0 -11606-4 0 2927  ',2 25544  51.6416 247.4627 0006703 130.5360 325.0288 15.72125391563537',2460111,0.02123842575
1 25544U 98067A   08264.51782528 -.00002182  00000-0 -11606-4 0 2927  ',2 25544  51.6416 247.4627 0006703 130.5360 325.0288 15.72125391563537',2460310,0.4971643519
1 99999U          18093.50000000 -.00000019  00000-0 -10758+5 0 00001 ',2 99999 000.0044 327.9601 0000024 102.8766 178.8790 01.00279711000018',2459580,0.5423726854
1 99999U          18093.50000000 -.00000019  00000-0 -10758+5 0 00001 ',2 99999 000.0044 327.9601 0000024 102.8766 178.8790 01.00279711000018',2459781,0.06666666688
1 99999U          18093.50000000 -.00000019  00000-0 -10758+5 0 00001 ',2 99999 000.0044 327.9601 0000024 102.8766 178.8790 01.00279711000018',2459945,0.5423726854
1 99999U          18093.50000000 -.00000019  00000-0 -10758+5 0 00001 ',2 99999 000.0044 327.9601 0000024 102.8766 178.8790 01.00279711000018',2460111,0.02123842575
1 99999U          18093.50000000 -.00000019  00000-0 -10758+5 0 00001 ',2 99999 000.0044 327.9601 0000024 102.8766 178.8790 01.00279711000018',2460310,0.4971643519
1 99999U          21022.65219669  .00013257  00000-0  79030-3 0 00009 ',2 99999 097.5063 081.3523 0008164 261.7713 098.3483 15.11224655000013',2459580,0.5423726854
1 99999U          21022.65219669  .00013257  00000-0  79030-3 0 00009 ',2 99999 097.5063 081.3523 0008164 261.7713 098.3483 15.11224655000013',2459781,0.06666666688
1 99999U          21022.65219669  .00013257  00000-0  79030-3 0 00009 ',2 99999 097.5063 081.3523 0008164 261.7713 098.3483 15.11224655000013',2459945,0.5423726854
1 99999U          21022.65219669  .00013257  00000-0  79030-3 0 00009 ',2 99999 097.5063 081.3523 0008164 261.7713 098.3483 15.11224655000013',2460111,0.02123842575
1 99999U          21022.65219669  .00013257  00000-0  79030-3 0 00009 ',2 99999 097.5063 081.3523 0008164 261.7713 098.3483 15.11224655000013',2460310,0.4971643519
1 43855U 18104G   19056.63241998  .00000042  00000-0  00000-0 0  9998 ',2 43855  85.0368 131.1811 0018294  19.7011 340.4950 15.22161332 10828',2459580,0.5423726854
1 43855U 18104G   19056.63241998  .00000042  00000-0  00000-0 0  9998 ',2 43855  85.0368 131.1811 0018294  19.7011 340.4950 15.22161332 10828',2459781,0.06666666688
1 43855U 18104G   19056.63241998  .00000042  00000-0  00000-0 0  9998 ',2 43855  85.0368 131.1811 0018294  19.7011 340.4950 15.22161332 10828',2459945,0.5423726854
1 43855U 18104G   19056.63241998  .00000042  00000-0  00000-0 0  9998 ',2 43855  85.0368 131.1811 0018294  19.7011 340.4950 15.22161332 10828',2460111,0.02123842575
1 43855U 18104G   19056.63241998  .00000042  00000-0  00000-0 0  9998 ',2 43855  85.0368 131.1811 0018294  19.7011 340.4950 15.22161332 10828',2460310,0.4971643519
